Ocupação;Quantitativo;Porcentagem;Ano
Trabalhador Dos Serviços de Contabilidade, de Caixa e Assemelhados;8;0,0004;2006
Trabalhador Florestal;1;0,0001;2006
Trabalhador Metalúrgico e Siderúrgico;25;0,0013;2006
Trabalhador Rural;17;0,0009;2006
Trabalhador de Artes Gráficas;15;0,0008;2006
Trabalhador de Construção Civil;51;0,0026;2006
Trabalhador de Fabricação de Calçados e Artefatos de Couro;2;0,0001;2006
Trabalhador de Fabricação de Produtos Têxteis (Exceto Roupas);1;0,0001;2006
Trabalhador de Fabricação de Roupas;3;0,0002;2006
Trabalhador de Fabricação, Vulcanização e Reparação de Pneumáticos;1;0,0001;2006
Trabalhador de Hotelaria;1;0,0001;2006
Trabalhador de Minas e Pedreiras, Sondador e Assemelhados;2;0,0001;2006
Trabalhador em Atividade de Processamento Químico;2;0,0001;2006
Tradutor, Intérprete e Filólogo;2;0,0001;2006
Técnico Contabilidade, Estatística, Economia Doméstica e Administração;102;0,0053;2006
Técnico Têxtil;1;0,0001;2006
Técnico de Biologia;3;0,0002;2006
Técnico de Eletricidade, Eletrônica e Telecomunicações;40;0,0021;2006
Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);63;0,0033;2006
Técnico de Laboratório e Raios X;15;0,0008;2006
Técnico de Mecânica;16;0,0008;2006
Técnico de Mineração, Metalurgia e Geologia;5;0,0003;2006
Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;10;0,0005;2006
Técnico de Química;4;0,0002;2006
Técnico em Agronomia e Agrimensura;15;0,0008;2006
